bartender,bar,drink_n,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9
Joe Schofield,American Bar at The Savoy (London),Dry Martini,60ml of Beefeater Gin,20ml of Savoy Dry Vermouth,1 drop of Savoy Martini Bitters,NA,NA,NA,NA,NA,NA
Joe Schofield,American Bar at The Savoy (London),Mother’s Milk,40ml of Beefeater Gin,40ml of Burnt Milk with Vanilla and Lemon,15ml of Burnt Milk Syrup,NA,NA,NA,NA,NA,NA
Johan Tufvesson,La Serre (Dubai),Sazy back,40ml Rye,10ml Sloe gin,10ml green chartreuse,10ml of Byrrh,Smoking glass with lemon wood sprayed with absinthe,2 dashes of creole bitters,3 dashes of lemon bitters,1 dash angustura,NA
Johan Tufvesson,La Serre (Dubai),Cathacombe,30ml Calvados,15ml of cognac,10ml Pedro Jimenez,15ml dolin rouge,5ml demerara 2.1,2 dashes old fashioned,2dashes plum bitter,2dashes angostura,NA
John Holzinger,Bourbon and Branch (San Francisco),The chiefton’s daughter,3/4 oz of Lillet,3/4 oz of lemon juice,0.5 oz of Camomile syrup,8 dashes of lemongrass tecture,0.5 oz of tonic,NA,NA,NA,NA
John Holzinger,Bourbon and Branch (San Francisco),Seige of boonesborough,1.5 oz of Mitcher’s Rye Whiskey,"0,5 oz of Calvados",3/4 oz of Lemon juice,0.5 oz of Brown Sugar syrup,0.25 oz of Benedictine,4 dashes of Chocolate bitters,NA,NA,NA
Johnathan Le Mee,Sherry Butt (Paris),The Drunken Poet,30ml of Noilly Prat,2 barspoons of Pedro Jimenez1 dash of Orange Bitters,NA,NA,NA,NA,NA,NA,NA
Johnathan Le Mee,Sherry Butt (Paris),De Plata o Plomo,15ml of Homemade Liqueur of Coffee and Cumin,20ml of Lime juice40ml of Embargo Rum,NA,NA,NA,NA,NA,NA,NA
Jon Lee,Tippling Club (Singapore),Daiquiri,60ml of Bacardi Rum,30ml of Lime,2 barspoons of Sugar,Pinch of Salt,NA,NA,NA,NA,NA
Jon Lee,Tippling Club (Singapore),Vida Rica,50ml of Bacardi 8 Rum,20ml of Lemon Juice,25ml of Egg Yolk,25ml of Caramel Syrup,3 dashes of Blossom Waters,NA,NA,NA,NA
Jordi Ba,NA,Vintage Gibson,Rince the ice with Noilly Prat Dry Vermouth90ml of Plymouth Gin from the 70’sHomemade Pickled Onion,NA,NA,NA,NA,NA,NA,NA,NA
Jordi Ba,NA,Sangre y Arena,30ml of Koch Mezcal,30ml of Blood Orange Juice,20ml of Noilly Prat Dry Vermouth,20ml of Cherry Heering,NA,NA,NA,NA,NA
ques Velasquez,NA,Vintage Gibson,Rince the ice with Noilly Prat Dry Vermouth90ml of Plymouth Gin from the 70’sHomemade Pickled Onion,NA,NA,NA,NA,NA,NA,NA,NA
ques Velasquez,NA,Sangre y Arena,30ml of Koch Mezcal,30ml of Blood Orange Juice,20ml of Noilly Prat Dry Vermouth,20ml of Cherry Heering,NA,NA,NA,NA,NA
Jose Luis Leon,Licoreria Limantour (Mexico City),Margarita Pastor,50ml of Tequila Silver,15ml of Triple Sec,"50ml of Taco Mix (Pineapple Juice, Agave Syrup, Coriander, Mint, Basil and Chilli)",25ml of Lime Juice,NA,NA,NA,NA,NA
Jose Luis Leon,Licoreria Limantour (Mexico City),Madero,45ml of Plymouth Gin,15ml of White Lillet,15ml of St Germain,40ml of Pineapple Juice,15ml of Lemon Juice,10ml of Mint Syrup,15ml of Egg White,NA,NA
Joseph Akhavan,Mabel (Paris),El Presidente,50ml cuban rum Bristol Sancti Spiritus 2003,15ml fino sherry,7.5ml dry curaçao,1 barspoon organic grenadine,2 dashes homemade aromatic bitters,NA,NA,NA,NA
